,chunk,length,recognitiontime
0,04Faiz Ahmed Faiz - Nisar Main Teri Galiyon Kay Ae Watan By ARaziq Piracha_Male_44100_CLEAN4.flac,39.35993197278911,17.36491322517395
1,04Faiz Ahmed Faiz - Nisar Main Teri Galiyon Kay Ae Watan By ARaziq Piracha_Male_44100_CLEAN6.flac,29.939931972789115,14.125155925750732
2,04Faiz Ahmed Faiz - Nisar Main Teri Galiyon Kay Ae Watan By ARaziq Piracha_Male_44100_CLEAN8.flac,1.0,0.0
