,chunk,length,recognitiontime
0,45 MINT   02 02 2019_Female_44100_CLEAN2.flac,33.57993197278912,19.514443397521973
1,45 MINT   02 02 2019_Male_44100_CLEAN7.flac,29.259931972789115,17.70083737373352
2,45 MINT   02 02 2019_Male_44100_CLEAN12.flac,33.879931972789116,31.913355112075806
3,45 MINT   02 02 2019_Male_44100_CLEAN18.flac,23.199931972789116,14.39444899559021
4,45 MINT   02 02 2019_Female_44100_CLEAN21.flac,67.91993197278912,59.133912801742554
5,45 MINT   02 02 2019_Female_44100_CLEAN23.flac,54.43993197278912,43.13937211036682
6,45 MINT   02 02 2019_Female_44100_CLEAN29.flac,33.699931972789116,27.585142135620117
7,45 MINT   02 02 2019_Female_44100_CLEAN31.flac,23.519931972789117,9.723262786865234
8,45 MINT   02 02 2019_Male_44100_CLEAN37.flac,34.07993197278912,31.74385094642639
9,45 MINT   02 02 2019_Female_44100_CLEAN38.flac,92.19993197278912,0.0
10,45 MINT   02 02 2019_Female_44100_CLEAN40.flac,62.099931972789115,59.688040018081665
11,45 MINT   02 02 2019_Male_44100_CLEAN41.flac,22.039931972789116,15.938005447387695
12,45 MINT   02 02 2019_Male_44100_CLEAN43.flac,41.199931972789116,20.785962104797363
13,45 MINT   02 02 2019_Male_44100_CLEAN47.flac,61.71993197278911,50.432260513305664
14,45 MINT   02 02 2019_Male_44100_CLEAN51.flac,37.47993197278912,33.270362854003906
15,45 MINT   02 02 2019_Male_44100_CLEAN53.flac,25.899931972789116,15.480381965637207
16,45 MINT   02 02 2019_Male_44100_CLEAN60.flac,20.479931972789117,9.395499467849731
17,45 MINT   02 02 2019_Male_44100_CLEAN63.flac,44.699931972789116,26.771172761917114
18,45 MINT   02 02 2019_Male_44100_CLEAN69.flac,28.739931972789115,18.23723840713501
19,45 MINT   02 02 2019_Male_44100_CLEAN71.flac,43.099931972789115,31.338019371032715
20,45 MINT   02 02 2019_Male_44100_CLEAN76.flac,38.47993197278912,31.30000925064087
21,45 MINT   02 02 2019_Male_44100_CLEAN82.flac,32.459931972789114,20.979536771774292
22,45 MINT   02 02 2019_Male_44100_CLEAN88.flac,20.419931972789115,14.469277143478394
23,45 MINT   02 02 2019_Female_44100_CLEAN93.flac,73.25993197278912,54.42535996437073
24,45 MINT   02 02 2019_Female_44100_CLEAN95.flac,21.239931972789115,15.794238090515137
25,45 MINT   02 02 2019_Female_44100_CLEAN97.flac,52.71993197278911,42.766313314437866
26,45 MINT   02 02 2019_Female_44100_CLEAN99.flac,25.919931972789115,13.727350950241089
27,45 MINT   02 02 2019_Female_44100_CLEAN101.flac,24.259931972789115,25.1184823513031
28,45 MINT   02 02 2019_Male_44100_CLEAN102.flac,49.319931972789114,57.98451352119446
29,45 MINT   02 02 2019_Male_44100_CLEAN104.flac,30.479931972789117,41.617650747299194
30,45 MINT   02 02 2019_Female_44100_CLEAN107.flac,38.599931972789115,31.88851308822632
31,45 MINT   02 02 2019_Male_44100_CLEAN121.flac,23.259931972789115,16.77552103996277
32,45 MINT   02 02 2019_Male_44100_CLEAN127.flac,55.99993197278911,56.77508902549744
33,45 MINT   02 02 2019_Male_44100_CLEAN129.flac,49.85993197278911,55.87457060813904
34,45 MINT   02 02 2019_Female_44100_CLEAN136.flac,87.97993197278912,0.0
35,45 MINT   02 02 2019_Female_44100_CLEAN138.flac,23.899931972789116,0.0
36,45 MINT   02 02 2019_Male_44100_CLEAN144.flac,20.239931972789115,9.236423969268799
37,45 MINT   02 02 2019_Male_44100_CLEAN150.flac,22.999931972789117,12.438066720962524
38,45 MINT   02 02 2019_Female_44100_CLEAN157.flac,23.779931972789115,12.641831874847412
39,45 MINT   02 02 2019_Male_44100_CLEAN163.flac,20.139931972789114,0.0
40,45 MINT   02 02 2019_Male_44100_CLEAN168.flac,21.919931972789115,85.15009999275208
41,45 MINT   02 02 2019_Female_44100_CLEAN171.flac,33.79993197278912,37.12320566177368
42,45 MINT   02 02 2019_Female_44100_CLEAN179.flac,34.239931972789115,26.475343942642212
43,45 MINT   02 02 2019_Male_44100_CLEAN184.flac,30.939931972789115,27.292944192886353
44,45 MINT   02 02 2019_Male_44100_CLEAN186.flac,45.599931972789115,25.187474250793457
45,45 MINT   02 02 2019_Female_44100_CLEAN189.flac,34.639931972789114,27.182416200637817
46,45 MINT   02 02 2019_Female_44100_CLEAN193.flac,27.459931972789114,18.080134868621826
47,45 MINT   02 02 2019_Female_44100_CLEAN199.flac,31.119931972789114,26.269983291625977
48,45 MINT   02 02 2019_Male_44100_CLEAN203.flac,20.619931972789114,15.129340410232544
49,45 MINT   02 02 2019_Male_44100_CLEAN204.flac,29.699931972789116,20.799126863479614
50,45 MINT   02 02 2019_Female_44100_CLEAN205.flac,25.599931972789115,17.239973068237305
51,45 MINT   02 02 2019_Female_44100_CLEAN209.flac,23.539931972789116,15.133357286453247
52,45 MINT   02 02 2019_Male_44100_CLEAN210.flac,30.039931972789116,16.4560604095459
53,45 MINT   02 02 2019_Male_44100_CLEAN212.flac,49.39993197278912,38.737749099731445
54,45 MINT   02 02 2019_Male_44100_CLEAN214.flac,27.439931972789115,17.580673456192017
55,45 MINT   02 02 2019_Male_44100_CLEAN218.flac,53.67993197278911,41.94028067588806
56,45 MINT   02 02 2019_Male_44100_CLEAN220.flac,22.379931972789116,11.876488447189331
57,45 MINT   02 02 2019_Male_44100_CLEAN230.flac,38.65993197278912,34.23932981491089
58,45 MINT   02 02 2019_Male_44100_CLEAN234.flac,45.699931972789116,33.45468592643738
59,45 MINT   02 02 2019_Male_44100_CLEAN238.flac,33.93993197278912,26.898003816604614
60,45 MINT   02 02 2019_Male_44100_CLEAN240.flac,28.579931972789115,23.229652643203735
61,45 MINT   02 02 2019_Male_44100_CLEAN242.flac,21.219931972789116,16.77641534805298
62,45 MINT   02 02 2019_Female_44100_CLEAN243.flac,23.879931972789116,17.491309881210327
63,45 MINT   02 02 2019_Female_44100_CLEAN245.flac,128.9999319727891,0.0
64,45 MINT   02 02 2019_Male_44100_CLEAN246.flac,53.71993197278911,0.0
65,45 MINT   02 02 2019_Male_44100_CLEAN249.flac,21.379931972789116,19.693540573120117
66,45 MINT   02 02 2019_Male_44100_CLEAN253.flac,24.319931972789117,21.038625955581665
67,45 MINT   02 02 2019_Male_44100_CLEAN255.flac,25.739931972789115,27.883172273635864
68,45 MINT   02 02 2019_Male_44100_CLEAN258.flac,26.099931972789115,18.688652276992798
69,45 MINT   02 02 2019_Female_44100_CLEAN259.flac,29.519931972789117,34.86981821060181
70,45 MINT   02 02 2019_Male_44100_CLEAN264.flac,38.699931972789116,58.942394495010376
71,45 MINT   02 02 2019_Female_44100_CLEAN265.flac,21.139931972789114,16.413185119628906
72,45 MINT   02 02 2019_Male_44100_CLEAN266.flac,30.719931972789116,30.59310817718506
73,45 MINT   02 02 2019_Female_44100_CLEAN269.flac,81.27993197278911,0.0
74,45 MINT   02 02 2019_Female_44100_CLEAN271.flac,22.479931972789117,18.165189027786255
75,45 MINT   02 02 2019_Male_44100_CLEAN274.flac,21.999931972789117,16.62748670578003
76,45 MINT   02 02 2019_Female_44100_CLEAN277.flac,20.579931972789115,14.200206756591797
77,45 MINT   02 02 2019_Male_44100_CLEAN280.flac,59.819931972789114,60.25043344497681
78,45 MINT   02 02 2019_Female_44100_CLEAN281.flac,28.019931972789117,23.031129837036133
79,45 MINT   02 02 2019_Male_44100_CLEAN282.flac,55.33993197278912,0.0
80,45 MINT   02 02 2019_Female_44100_CLEAN285.flac,50.97993197278912,44.80610966682434
81,45 MINT   02 02 2019_Male_44100_CLEAN287.flac,5.079931972789115,0.0
