,chunk,length,recognitiontime
0,45 MINT   05 01 2019_Female_44100_CLEAN2.flac,128.41993197278913,65.95159816741943
1,45 MINT   05 01 2019_Female_44100_CLEAN4.flac,52.739931972789115,36.30643153190613
2,45 MINT   05 01 2019_Male_44100_CLEAN5.flac,28.919931972789115,26.72763204574585
3,45 MINT   05 01 2019_Male_44100_CLEAN7.flac,53.959931972789114,37.681217670440674
4,45 MINT   05 01 2019_Male_44100_CLEAN9.flac,68.05993197278912,63.9665584564209
5,45 MINT   05 01 2019_Male_44100_CLEAN11.flac,20.839931972789117,10.320310831069946
6,45 MINT   05 01 2019_Female_44100_CLEAN14.flac,22.239931972789115,12.466694593429565
7,45 MINT   05 01 2019_Male_44100_CLEAN18.flac,20.459931972789114,14.38502812385559
8,45 MINT   05 01 2019_Female_44100_CLEAN22.flac,36.599931972789115,22.231321096420288
9,45 MINT   05 01 2019_Female_44100_CLEAN26.flac,23.619931972789114,13.480690002441406
10,45 MINT   05 01 2019_Male_44100_CLEAN29.flac,20.839931972789117,19.037113428115845
11,45 MINT   05 01 2019_Female_44100_CLEAN38.flac,25.659931972789117,14.069359540939331
12,45 MINT   05 01 2019_Female_44100_CLEAN41.flac,23.719931972789116,15.459069967269897
13,45 MINT   05 01 2019_Male_44100_CLEAN47.flac,23.919931972789115,14.488574981689453
14,45 MINT   05 01 2019_Male_44100_CLEAN55.flac,21.659931972789117,11.13899040222168
15,45 MINT   05 01 2019_Female_44100_CLEAN60.flac,24.399931972789116,15.219235181808472
16,45 MINT   05 01 2019_Male_44100_CLEAN64.flac,23.479931972789117,11.177016258239746
17,45 MINT   05 01 2019_Male_44100_CLEAN77.flac,20.999931972789117,10.824807167053223
18,45 MINT   05 01 2019_Female_44100_CLEAN78.flac,41.75993197278912,20.931708335876465
19,45 MINT   05 01 2019_Male_44100_CLEAN81.flac,34.93993197278912,23.80686664581299
20,45 MINT   05 01 2019_Male_44100_CLEAN83.flac,67.13993197278911,49.788512229919434
21,45 MINT   05 01 2019_Male_44100_CLEAN85.flac,50.15993197278912,27.714056968688965
22,45 MINT   05 01 2019_Male_44100_CLEAN87.flac,75.39993197278912,0.0
23,45 MINT   05 01 2019_Female_44100_CLEAN88.flac,25.159931972789117,14.149579763412476
24,45 MINT   05 01 2019_Male_44100_CLEAN90.flac,29.739931972789115,24.14425754547119
25,45 MINT   05 01 2019_Female_44100_CLEAN91.flac,31.159931972789117,21.905686378479004
26,45 MINT   05 01 2019_Male_44100_CLEAN92.flac,43.11993197278912,32.03844952583313
27,45 MINT   05 01 2019_Male_44100_CLEAN101.flac,21.019931972789117,10.818426609039307
28,45 MINT   05 01 2019_Male_44100_CLEAN107.flac,22.499931972789117,10.27413296699524
29,45 MINT   05 01 2019_Male_44100_CLEAN111.flac,20.159931972789117,11.734977006912231
30,45 MINT   05 01 2019_Male_44100_CLEAN124.flac,20.499931972789117,9.015491008758545
31,45 MINT   05 01 2019_Female_44100_CLEAN136.flac,21.139931972789114,12.350404500961304
32,45 MINT   05 01 2019_Female_44100_CLEAN142.flac,30.599931972789115,14.473711013793945
